"","Scenario","Response","Method","Bias_sub1","Bias_sub2","Bias_sub3","Bias_sub4","SE_sub1","SE_sub2","SE_sub3","SE_sub4","RMSE_sub1","RMSE_sub2","RMSE_sub3","RMSE_sub4"
"18",3,"Efficacy","GCBHM_L",0,0,0,0,1.14,1.11,1.14,1.11,0.081,0.078,0.081,0.078
"19",3,"Toxicity","BHM_IG",0,0,0,0,0.47,0.47,0.47,0.48,0.033,0.033,0.033,0.034
"20",3,"Toxicity","CBHM_ET",0,0,0,0,1,0.99,1.02,1,0.071,0.07,0.072,0.071
"21",3,"Toxicity","GCBHM_L",0,0,0,0,0.96,0.94,0.94,0.93,0.068,0.067,0.067,0.066
"22",4,"Efficacy","BHM_IG",0,0,-0.01,-0.01,0.75,0.76,0.75,0.76,0.053,0.054,0.054,0.055
"23",4,"Efficacy","CBHM_E",-0.01,-0.02,-0.02,-0.01,1.33,1.34,1.33,1.31,0.095,0.096,0.096,0.094
"24",4,"Efficacy","CBHM_ET",-0.02,-0.02,-0.02,-0.02,1.34,1.35,1.37,1.37,0.097,0.097,0.098,0.098
"25",4,"Efficacy","GCBHM_L",-0.01,-0.01,-0.01,-0.01,1.35,1.33,1.38,1.43,0.096,0.095,0.099,0.102
"26",4,"Toxicity","BHM_IG",0.04,0.02,-0.01,-0.04,0.54,0.53,0.58,0.75,0.053,0.041,0.043,0.068
"27",4,"Toxicity","CBHM_ET",0,0,0,0.01,0.76,0.86,1.07,1.24,0.054,0.061,0.076,0.088
"28",4,"Toxicity","GCBHM_L",0,0,0,0.01,0.77,0.84,1.06,1.32,0.055,0.059,0.075,0.093
"29",5,"Efficacy","BHM_IG",0.05,0.02,-0.02,-0.05,0.78,0.71,0.67,0.71,0.074,0.053,0.05,0.07
"30",5,"Efficacy","CBHM_E",-0.01,-0.01,0,-0.01,1.4,1.26,1.13,1.09,0.099,0.089,0.08,0.077
"31",5,"Efficacy","CBHM_ET",-0.01,-0.01,0,0,1.43,1.3,1.15,1.12,0.102,0.092,0.081,0.08
"32",5,"Efficacy","GCBHM_L",-0.01,0,0,0,1.46,1.3,1.19,1.15,0.103,0.092,0.084,0.081
"33",5,"Toxicity","BHM_IG",0.01,0.01,0,0,0.61,0.61,0.6,0.6,0.044,0.043,0.043,0.042
"34",5,"Toxicity","CBHM_ET",0.01,0.01,0.01,0.01,1.24,1.2,1.22,1.2,0.088,0.086,0.087,0.086
"35",5,"Toxicity","GCBHM_L",0.01,0.01,0.01,0.01,1.21,1.18,1.18,1.13,0.086,0.084,0.084,0.081
"36",6,"Efficacy","BHM_IG",0.06,-0.02,-0.02,-0.02,1.02,0.73,0.72,0.72,0.094,0.055,0.054,0.054
"37",6,"Efficacy","CBHM_E",-0.02,0,0,-0.01,1.48,1.13,1.1,1.17,0.106,0.08,0.078,0.083
"38",6,"Efficacy","CBHM_ET",-0.01,0,0,0,1.56,1.16,1.12,1.15,0.111,0.082,0.08,0.081
"39",6,"Efficacy","GCBHM_L",-0.01,0,0,0,1.58,1.18,1.17,1.16,0.112,0.084,0.082,0.082
"40",6,"Toxicity","BHM_IG",-0.04,0.01,0.01,0.01,0.88,0.57,0.57,0.56,0.074,0.043,0.043,0.042
"41",6,"Toxicity","CBHM_ET",0.02,0,0,0,1.43,0.99,1.02,1,0.103,0.07,0.072,0.071
"42",6,"Toxicity","GCBHM_L",0.01,0,0.01,0,1.5,0.95,0.98,0.96,0.106,0.067,0.069,0.068
"43",7,"Efficacy","BHM_IG",0.03,0.03,-0.03,-0.03,1.01,1.01,0.87,0.88,0.078,0.078,0.07,0.071
"44",7,"Efficacy","CBHM_E",-0.02,-0.02,-0.01,-0.01,1.46,1.46,1.2,1.19,0.105,0.106,0.085,0.084
"45",7,"Efficacy","CBHM_ET",-0.02,-0.02,-0.01,0,1.51,1.5,1.16,1.19,0.108,0.108,0.082,0.085
"46",7,"Efficacy","GCBHM_L",-0.02,-0.01,0,0,1.57,1.57,1.14,1.21,0.112,0.112,0.081,0.086
"47",7,"Toxicity","BHM_IG",-0.02,-0.02,0.03,0.03,0.87,0.88,0.65,0.64,0.066,0.067,0.052,0.052
"48",7,"Toxicity","CBHM_ET",0.02,0.02,0,0,1.43,1.41,1.02,1.01,0.103,0.101,0.072,0.071
"49",7,"Toxicity","GCBHM_L",0.01,0.02,0.01,0.01,1.44,1.48,1.02,0.99,0.103,0.106,0.072,0.07
"50",8,"Efficacy","BHM_IG",0.03,0.03,-0.02,-0.05,0.96,0.98,0.85,0.93,0.074,0.075,0.064,0.08
"51",8,"Efficacy","CBHM_E",-0.02,-0.02,-0.01,-0.01,1.45,1.47,1.26,1.22,0.104,0.106,0.09,0.087
"52",8,"Efficacy","CBHM_ET",-0.02,-0.02,-0.01,-0.01,1.51,1.49,1.29,1.22,0.108,0.107,0.092,0.086
"53",8,"Efficacy","GCBHM_L",-0.01,-0.01,-0.01,0,1.56,1.56,1.35,1.25,0.111,0.111,0.096,0.088
"54",8,"Toxicity","BHM_IG",-0.02,-0.02,0.01,0.04,0.81,0.82,0.7,0.69,0.06,0.06,0.051,0.062
"55",8,"Toxicity","CBHM_ET",0.02,0.02,0.01,0,1.44,1.41,1.24,1.01,0.103,0.101,0.088,0.072
"56",8,"Toxicity","GCBHM_L",0.01,0.01,0.01,0.01,1.42,1.44,1.21,1.06,0.102,0.103,0.087,0.076
"57",9,"Efficacy","BHM_IG",0.01,0.02,0.02,-0.06,0.95,0.94,0.94,1.04,0.069,0.069,0.068,0.094
"58",9,"Efficacy","CBHM_E",-0.02,-0.02,-0.02,-0.01,1.44,1.44,1.44,1.27,0.103,0.105,0.104,0.09
"59",9,"Efficacy","CBHM_ET",-0.02,-0.02,-0.02,-0.01,1.49,1.48,1.51,1.28,0.107,0.106,0.108,0.091
"60",9,"Efficacy","GCBHM_L",-0.02,-0.01,-0.01,0,1.55,1.53,1.51,1.28,0.11,0.109,0.108,0.091
"61",9,"Toxicity","BHM_IG",-0.01,-0.01,-0.01,0.04,0.83,0.82,0.83,0.76,0.06,0.059,0.059,0.068
"62",9,"Toxicity","CBHM_ET",0.02,0.02,0.02,0,1.44,1.42,1.44,1.02,0.103,0.102,0.103,0.072
"63",9,"Toxicity","GCBHM_L",0.01,0.02,0.01,0.01,1.43,1.43,1.42,1.12,0.102,0.102,0.101,0.08
